Node_ID	Description	Sub-family	Colour (Sub-family)
MG592569	Vibrio phage 1.199.A._10N.286.55.C10	Unclassified	#D3D3D3
MG592568	Vibrio phage 1.198.B._10N.286.54.F4	Unclassified	#D3D3D3
MG592567	Vibrio phage 1.198.A._10N.286.54.F4	Unclassified	#D3D3D3
MG592566	Vibrio phage 1.197.A._10N.286.54.F2	Unclassified	#D3D3D3
MG592565	Vibrio phage 1.196.O._10N.286.54.E12	Unclassified	#D3D3D3
MG592564	Vibrio phage 1.195.O._10N.286.54.C8	Unclassified	#D3D3D3
MG592563	Vibrio phage 1.194.O._10N.286.54.B1	Unclassified	#D3D3D3
MG592562	Vibrio phage 1.193.O._10N.286.52.C6	Unclassified	#D3D3D3
MG592561	Vibrio phage 1.191.O._10N.286.52.B4	Unclassified	#D3D3D3
MG592560	Vibrio phage 1.190.O._10N.286.51.F12	Unclassified	#D3D3D3
MG592559	Vibrio phage 1.189.O._10N.286.51.B5	Unclassified	#D3D3D3
MG592558	Vibrio phage 1.189.C._10N.286.51.B5	Unclassified	#D3D3D3
MG592557	Vibrio phage 1.189.B._10N.286.51.B5	Unclassified	#D3D3D3
MG592556	Vibrio phage 1.188.C._10N.286.51.A6	Unclassified	#D3D3D3
MG592555	Vibrio phage 1.188.B._10N.286.51.A6	Unclassified	#D3D3D3
MG592554	Vibrio phage 1.188.A._10N.286.51.A6	Unclassified	#D3D3D3
MG592553	Vibrio phage 1.187.O._10N.286.49.F1	Unclassified	#D3D3D3
MG592552	Vibrio phage 1.186.O._10N.286.49.E3	Unclassified	#D3D3D3
MG592551	Vibrio phage 1.185.O._10N.286.49.C2	Unclassified	#D3D3D3
MG592550	Vibrio phage 1.184.A._10N.286.49.A5	Unclassified	#D3D3D3
